ID,TEA Random
95,TEA Airdrie United - Scotland
96,TEA Airdrie United reserves
97,TEA Airdrie United youth team
98,TEA Airdrie youth team
99,TEA AJ Auxerre - France
100,TEA AJ Auxerre reserves
101,TEA AJ Auxerre youth team
102,TEA Ajax - Holland
103,TEA Ajax Cape Town - South Africa
104,TEA Ajax Lasnamae - Estonia
105,TEA Ajax reserves
106,TEA Ajax youth team
107,TEA Akademisk - Denmark
108,TEA Akademisk Boldklub - Denmark
109,TEA Akratitos - Greece
110,TEA Akwa United - Nigeria
111,TEA Al Ahly - Egypt
112,TEA Al Ahly Cairo - Egypt
113,TEA Al Gaish - Egypt
114,TEA Al Ittihad - Egypt
115,TEA Al Jazira - Saudi Arabia
116,TEA Al Masry - Egypt
117,TEA Al Sadd - Saudi Arabia
118,TEA Al-Ahli - Saudi Arabia
119,TEA Al-Arabi - Saudi Arabia
120,TEA Al-Duhail - Saudi Arabia
121,TEA Al-Gharafa - Saudi Arabia
122,TEA Al-Hazm - Saudi Arabia
123,TEA Al-Hilal - Saudi Arabia
124,TEA Al-Ittifaq - Saudi Arabia
125,TEA Al-Ittihad - Saudi Arabia
126,TEA Al-Khaleej - Saudi Arabia
127,TEA Al-Nassr - Saudi Arabia
128,TEA Al-Qadisiya - Saudi Arabia
129,TEA Al-Rayyan - Saudi Arabia
130,TEA Al-Shabab - Saudi Arabia
131,TEA Al-Shahania - Saudi Arabia
132,TEA Al-Tae - Saudi Arabia
133,TEA Al-Wakrah - Saudi Arabia
134,TEA Al-Wakrah SC - Saudi Arabia
135,TEA Al-Watani - Saudi Arabia
136,TEA Al-Wehda - Saudi Arabia
137,TEA Alajuelens - Costa Rica
138,TEA Alajuelense - Costa Rica
139,TEA Alania - Russia
140,TEA Alania Vladkavkaz - Russia
141,TEA Alanyaspor - Turkey
142,TEA Albacete - Spain
143,TEA Albion - Scotland
144,TEA Albion Rovers - Scotland
145,TEA Albirex Niigata - Japan
146,TEA Aldershot - England
147,TEA Aldershot Town - England
148,TEA Alfreton Town - England
149,TEA Alianza - Peru
150,TEA Alianza Atletico - Peru
151,TEA Alkmaar - Holland
152,TEA Alkmaar reserves
153,TEA Alkmaar youth team
154,TEA Allianssi - Finland
155,TEA Alloa - Scotland
156,TEA Almeria - Spain
157,TEA Alsace - France
158,TEA Altay - Turkey
159,TEA Altrincham - England
160,TEA Aluminium - Egypt
161,TEA Aluminium Naq Hammadi - Egypt
162,TEA Alverca - Portugal
163,TEA AM Cosmos - Slovenia
164,TEA Amadora - Portugal
165,TEA AmaZula - South Africa
166,TEA AMC - Slovenia
167,TEA Ameri Tblisi - Georgia
168,TEA America - Columbia
169,TEA America - Mexico
170,TEA America de Cali - Columbia
171,TEA America de Natal - Brazil
172,TEA Amica - Poland
173,TEA Amica Wronki - Poland
174,TEA Amiens - France
175,TEA Amiens SCF - France
176,TEA Amkar Perm - Russia
177,TEA Anadia - Portugal
178,TEA Ancona - Italy
179,TEA Anderlecht - Belgium
180,TEA Anderlecht reserves
181,TEA Anderlecht youth team
182,TEA Angers - France
183,TEA Ankaragucu - Turkey
184,TEA Ankaraspor - Turkey
185,TEA Annan - Scotland
186,TEA Annan Athletic - Scotland
187,TEA Antalyaspor - Turkey
188,TEA Antofagasta - Chile
189,TEA Anyang Cheetahs - South Korea
190,TEA Anyang LG - South Korea
191,TEA Anzhi - Russia
192,TEA Anzhi Makhachkala - Russia
193,TEA Apollon - Greece
194,TEA Apollon Kalamarias - Greece
195,TEA Apollonia - Albania
196,TEA Apollonia Fier - Albania
197,TEA Arab Contractors - Egypt
198,TEA Arbroath - Scotland
199,TEA Arcadia Utd - Zimbabwe
200,TEA Ards - N Ireland
201,TEA Arequipa - Peru
202,TEA Arezzo - Italy
203,TEA Argentinos - Argentina
204,TEA Argentinos Juniors - Argentina
205,TEA Argentinos Juniors reserves
206,TEA Argentinos Juniors youth team
207,TEA Argentinos reserves
208,TEA Argentinos youth team
209,TEA Arges - Romania
210,TEA Aris - Greece
211,TEA Aris Salonika - Greece
212,TEA Armagh City - N Ireland
213,TEA Arminia Bielefeld - Germany
214,TEA Arnett Gardens - Jamaica
215,TEA Arnett Gdrs - Jamaica
216,TEA Arouca - Portugal
217,TEA Arrows - Zambia
218,TEA Arsenal - England
219,TEA Arsenal de S - Argentina
220,TEA Arsenal de S reserves
221,TEA Arsenal de S youth team
222,TEA Arsenal de Sarandi - Argentina
223,TEA Arsenal de Sarandi reserves
224,TEA Arsenal de Sarandi youth team
225,TEA Arsenal Kiev - Ukraine
226,TEA Arsenal reserves
227,TEA Arsenal Tula - Russia
228,TEA Arsenal Tula reserves
229,TEA Arsenal Tula youth team
230,TEA Arsenal youth team
231,TEA AS Khroub - Algeria
232,TEA AS Marsa - Tunisia
233,TEA AS Monaco - France
234,TEA AS Monaco reserves
235,TEA AS Monaco youth team
236,TEA AS Nancy - France
237,TEA AS Nancy reserves
238,TEA AS Nancy youth team
239,TEA AS Roma - Italy
240,TEA AS Roma reserves
241,TEA AS Roma youth team
242,TEA AS Trencin - Slovakia
243,TEA ASA - Angola
244,TEA Asante Kotoko - Ghana
245,TEA ASC Ndiambour - Senegal
246,TEA ASC Yeggo - Senegal
247,TEA Ascoli - Italy
248,TEA ASEC - Ivory Coast
249,TEA ASEC Mimosas - Ivory Coast
250,TEA Ashanti Gold - Ghana
251,TEA ASO Chief - Algeria
252,TEA Assyriska - Sweden
253,TEA Assyriska FF - Sweden
254,TEA Asteras Tripolis - Greece
255,TEA Aston Villa - England
256,TEA Aston Villa reserves
257,TEA Aston Villa youth team
258,TEA Atalanta - Italy
259,TEA Atalanta reserves
260,TEA Atalanta Utd - America
261,TEA Atalanta Utd FC - America
262,TEA Atalanta Utd FC reserves
263,TEA Atalanta Utd FC youth team
264,TEA Atalanta Utd reserves
265,TEA Atalanta Utd youth team
266,TEA Atalanta youth team
267,TEA Athletic Bilbao - Spain
268,TEA Athletic Bilbao reserves
269,TEA Athletic Bilbao youth team
270,TEA Atl Celaya - Mexico
271,TEA Atl Huila - Columbia
272,TEA Atl Junior - Columbia
273,TEA Atl Madrid - Spain
274,TEA Atl Madrid reserves
275,TEA Atl Madrid youth team
276,TEA Atl Nacional - Columbia
277,TEA Atl Paranaense - Brazil
278,TEA Atl Paranaense reserves
279,TEA Atl Paranaense youth team
280,TEA Atlante - Mexico
281,TEA Atlas - Mexico
282,TEA Atletico Bucaramanga - Columbia
283,TEA Atletico Celaya - Mexico
284,TEA Atletico Colegiales - Paraguay
285,TEA Atletico Huila - Columbia
286,TEA Atletico Junior - Columbia
287,TEA Atletico Madrid - Spain
288,TEA Atletico Madrid reserves
289,TEA Atletico Madrid youth team
290,TEA Atletico Mineiro - Brazil
291,TEA Atletico Minero - Peru
292,TEA Atletico Nacional - Columbia
293,TEA Atletico Osasuna - Spain
294,TEA Atletico Osasuna reserves
295,TEA Atletico Osasuna youth team
296,TEA Atletico Vallecano - Spain
297,TEA Atromitos - Greece
298,TEA Atromitos Athens - Greece
299,TEA Audax Italiano - Chile
300,TEA Augsburg - Germany
301,TEA Augsburg reserves
302,TEA Augsburg youth team
303,TEA August Town - Jamaica
304,TEA Aurichb - Peru
305,TEA Auseklis - Latvia
306,TEA Austin FC - America
307,TEA Austin FC reserves
308,TEA Austin FC youth team
309,TEA Austria Karnten - Austria
310,TEA Austria Vienna - Austria
311,TEA Austria Vienna reserves
312,TEA Austria Vienna youth team
313,TEA Autonome - Senegal
314,TEA Auxerre - France
315,TEA Auxerre reserves
316,TEA Auxerre youth team
317,TEA Avangard - Russia
318,TEA Avangard Kursk - Russia
319,TEA Aves - Portugal
320,TEA Avrarches - France
321,TEA Ayr - Scotland
322,TEA Ayr reserves
323,TEA Ayr United - Scotland
324,TEA Ayr United reserves
325,TEA Ayr United youth team
326,TEA Ayr youth team
327,TEA AZ - Holland
328,TEA AZ Alkmaar - Holland
329,TEA AZ Alkmaar reserves
330,TEA AZ Alkmaar youth team
331,TEA AZ reserves
332,TEA AZ youth team
333,TEA B Borisov - Belarus
334,TEA B Bystrica - Slovakia
335,TEA B Celtic - South Africa
336,TEA B Dortmund - Germany
337,TEA B Dortmund reserves
338,TEA B Dortmund youth team
339,TEA B Insurance - Nigeria
340,TEA B Kobe - Japan
341,TEA B Leopards - South Africa
342,TEA B Luanda - Angola
343,TEA B Lubango - Angola
344,TEA B Munich - Germany
345,TEA B Munich reserves
346,TEA B Munich youth team
347,TEA B Ostrava - Czech Rep
348,TEA B Ostrava reserves
349,TEA B Ostrava youth team
350,TEA B Plovdiv - Bulgaria
351,TEA B Zagora - Bulgaria
352,TEA B'pojkarna - Sweden
353,TEA B. Star - Liberia
354,TEA Bacau - Romania
355,TEA Badajoz - Spain
356,TEA Bahia - Argentina
357,TEA Bahia - Brazil
358,TEA Bahia Blanca - Argentina
359,TEA Bahman - Iran
360,TEA Bala Town - Wales
361,TEA Bala Town reserves
362,TEA Bala Town youth team
363,TEA Baladiyyat - Egypt
364,TEA Baladiyyat Al-Mehalla - Egypt
365,TEA Balkan - Macedonia
366,TEA Balkan Bisi - Macedonia
367,TEA Ballymena - N Ireland
368,TEA Ballymena United - N Ireland
369,TEA Baltika - Russia
370,TEA Baltika Kalinigrad - Russia
371,TEA Banat - Serbia
372,TEA Banat Zrenjanin - Serbia
373,TEA Banfield - Argentina
374,TEA Bangor City - Wales
375,TEA Banik Ostrava - Czech Rep
376,TEA Banik Ostrava reserves
377,TEA Banik Ostrava youth team
378,TEA Baorong - China
379,TEA Barcelona - Spain
380,TEA Barcelona reserves
381,TEA Barcelona youth team
382,TEA Bardejov - Slovakia
383,TEA Bargh - Iran
384,TEA Bari - Italy
385,TEA Bari reserves
386,TEA Bari youth team
387,TEA Barnet - England
388,TEA Barnsley - England
389,TEA Barrack YC - Liberia
390,TEA Barrack Young Controllers - Liberia
391,TEA Barreirense - Portugal
392,TEA Barrolle - Liberia
393,TEA Barrow - England
394,TEA Barry Town - Wales
395,TEA Barry Town reserves
396,TEA Barry Town youth team
397,TEA Basaksehir - Turkey
398,TEA Basaksehir reserves
399,TEA Basaksehir youth team
400,TEA Basarabeasca - Moldova
401,TEA Basawez - Uruguay
402,TEA Bastia - France
403,TEA Bastia reserves
404,TEA Bastia youth team
405,TEA Bata - Guinea
406,TEA BATE Borisov - Belarus
407,TEA Batumi - Georgia
408,TEA Bayelsa United - Nigeria
409,TEA Bayelsa Utd - Nigeria
410,TEA Bayer Leverkusen - Germany
411,TEA Bayer Leverkusen reserves
412,TEA Bayer Leverkusen youth team
413,TEA Bayern Munich - Germany
414,TEA Bayern Munich reserves
415,TEA Bayern Munich youth team
416,TEA Beauvais - France
417,TEA Beerschot - Belgium
418,TEA Beijing - China
419,TEA Beijing BSU - China
420,TEA Beijing Guoan - China
421,TEA Beijing Guoan reserves
422,TEA Beijing Guoan youth team
423,TEA Beijing Renhe - China
424,TEA Beijing Sinoba Guoan - China
425,TEA Beijing Sinoba Guoan reserves
426,TEA Beijing Sinoba Guoan youth team
427,TEA Beira Mar - Portugal
428,TEA Beitar - Israel
429,TEA Beitar Jerusalem - Israel
430,TEA Belasitsa - Bulgaria
431,TEA Belasitsa Petrich - Bulgaria
432,TEA Belenenses - Portugal
433,TEA Bella Vista - Uruguay
434,TEA Bellmare - Japan
435,TEA Bellmare Hiratsuka - Japan
436,TEA Beltinci - Slovenia
437,TEA Belupo - Croatia
438,TEA Belupo reserves
439,TEA Belupo youth team
440,TEA Bendel Insurance - Nigeria
441,TEA Benevento - Italy
442,TEA Benevento reserves
443,TEA Benevento youth team
444,TEA Benfica - Portugal
445,TEA Benfica Luanda - Angola
446,TEA Benfica Lubango - Angola
447,TEA Benfica reserves
448,TEA Benfica youth team
449,TEA Beracruz - Columbia
450,TEA Berat - Albania
451,TEA Berlin - Germany
452,TEA Berlin reserves
453,TEA Berlin youth team
454,TEA Beroe Stara Zagora - Bulgaria
455,TEA Berwick - Scotland
456,TEA Berwick Rangers - Scotland
457,TEA Besa - Albania
458,TEA Besiktas - Turkey
459,TEA Besiktas reserves
460,TEA Besiktas youth team
461,TEA Besta Madang - Guinea
462,TEA Besta Madang Fighters - Guinea
463,TEA Besulidhja - Albania
464,TEA Besulidhja Lezhu - Albania
465,TEA Beveren - Belgium
466,TEA Bezanija - Serbia
467,TEA Bidvest Wits - South Africa
468,TEA Bielefeld - Germany
469,TEA Bingerville - Ivory Coast
470,TEA Birmingham - England
471,TEA Birmingham City - England
472,TEA Birmingham City reserves
473,TEA Birmingham City youth team
474,TEA Birmingham reserves
475,TEA Birmingham youth team
476,TEA Bissel Kobe - Japan
477,TEA Bistrita - Romania
478,TEA BK Hacken - Sweden
479,TEA Black Aces - Zimbabwe
480,TEA Black Leopards - South Africa
481,TEA Black Rhinos - Zimbabwe
482,TEA Black Star - Jamaica
483,TEA Blackburn - England
484,TEA Blackburn reserves
485,TEA Blackburn Rovers - England
486,TEA Blackburn Rovers reserves
487,TEA Blackburn Rovers youth team
488,TEA Blackburn youth team
489,TEA Blackpool - England
490,TEA Bloemfontein Celtic - South Africa
491,TEA Blooming - Bolivia
492,TEA Blue Kumuls - Guinea
493,TEA Blue Kumuls Lae - Guinea
494,TEA Blue Swallows - Zimbabwe
495,TEA BMG - Germany
496,TEA BMG reserves
497,TEA BMG youth team
498,TEA Bnei Sakhnin - Israel
499,TEA Bnei Yehuda - Israel
500,TEA Boavista - Portugal
501,TEA Boavista reserves
502,TEA Boavista youth team
503,TEA Boca Juniors - Argentina
504,TEA Boca Juniors reserves
505,TEA Boca Juniors youth team
506,TEA Bochum - Germany
507,TEA Bochum reserves
508,TEA Bochum youth team
509,TEA Bohemians - Czech Rep
510,TEA Bohemians - Irish Rep
511,TEA Bohemians P - Czech Rep
512,TEA Bohemians Prague - Czech Rep
513,TEA Bohemians Prague reserves
514,TEA Bohemians Prague youth team
515,TEA Bohemians reserves
516,TEA Bohemians youth team
517,TEA Boleslav - Czech Rep
518,TEA Bolivar - Bolivia
519,TEA Bologna - Italy
520,TEA Bologna reserves
521,TEA Bologna youth team
522,TEA Bolton - England
523,TEA Bolton reserves
524,TEA Bolton Wanderers - England
525,TEA Bolton Wanderers reserves
526,TEA Bolton Wanderers youth team
527,TEA Bolton youth team
528,TEA Borac - Serbia
529,TEA Borac Cacak - Serbia
530,TEA Bordeaux - France
531,TEA Bordeaux reserves
532,TEA Bordeaux youth team
533,TEA Borec MHK - Macedonia
534,TEA Boreham Wood - England
535,TEA Borussia Dortmund - Germany
536,TEA Borussia Dortmund reserves
537,TEA Borussia Dortmund youth team
538,TEA Borussia Monchengladbach - Germany
539,TEA Borussia Monchengladbach reserves
540,TEA Borussia Monchengladbach youth team
541,TEA Bosch - Holland
542,TEA Boston Utd - England
543,TEA Botafogo - Brazil
544,TEA Botev Plovdiv - Bulgaria
545,TEA Bournemouth - England
546,TEA Bournemouth reserves
547,TEA Bournemouth youth team
548,TEA Boyaca Chico - Columbia
549,TEA Boys Town - Jamaica
550,TEA Bradford - England
551,TEA Bradford City - England
552,TEA Braintree Town - England
553,TEA Brann - Norway
554,TEA Bray - Irish Rep
555,TEA Bray Wanderers - Irish Rep
556,TEA Brechin - Scotland
557,TEA Breda - Holland
558,TEA Breda reserves
559,TEA Breda youth team
560,TEA Breidablik - Iceland
561,TEA Brentford - England
562,TEA Brentford reserves
563,TEA Brentford youth team
564,TEA Brescia - Italy
565,TEA Brescia reserves
566,TEA Brescia youth team
567,TEA Brest - France
568,TEA Breweries - Liberia
569,TEA Brighton - England
570,TEA Brighton reserves
571,TEA Brighton youth team
572,TEA Brisbane Roar - Australia
573,TEA Bristol City - England
574,TEA Bristol Rovers - England
575,TEA Bristol Rovers reserves
576,TEA Bristol Rovers youth team
577,TEA Bristol Rvrs - England
578,TEA Bristol Rvrs reserves
579,TEA Bristol Rvrs youth team
580,TEA Brno - Czech Rep
581,TEA Bromley - England
582,TEA Bromley reserves
583,TEA Bromley youth team
584,TEA Brondby - Denmark
585,TEA Brondby IF - Denmark
586,TEA Brondby IF reserves
587,TEA Brondby IF youth team
588,TEA Brondby reserves
589,TEA Brondby youth team
590,TEA Brora - Scotland
591,TEA Brora Rangers - Scotland
592,TEA Brujas FC - Costa Rica
593,TEA Bryansk - Russia
594,TEA Bryne - Norway
595,TEA BST Domzale - Slovenia
596,TEA Bucaramanga - Columbia
597,TEA Bucheon SK - South Korea
598,TEA Budapest Honved - Hungary
599,TEA Budapest Honved reserves
600,TEA Budapest Honved youth team
601,TEA Buducnost - Serbia
602,TEA Buffaloes - Zambia
603,TEA Bukovina - Ukraine
604,TEA Burnley - England
605,TEA Burnley reserves
606,TEA Burnley youth team
607,TEA Bursaspor - Turkey
608,TEA Burton - England
609,TEA Burton Albion - England
610,TEA Bury - England
611,TEA Busan I.Park - South Korea
612,TEA Bush Bucks - South Africa
613,TEA Buyuksehir - Turkey
614,TEA Buzau - Romania
615,TEA BV Emmen - Holland
616,TEA BVSC - Hungary
617,TEA Bylis Ballsh - Albania
618,TEA C Bolognesi - Peru
619,TEA C Budejovice - Czech Rep
620,TEA C Caledonia - Trinidad
621,TEA C Dragons - South Korea
622,TEA C Espanol - Uruguay
623,TEA C Falcons - Trinidad
624,TEA C O Lusaka - Zambia
625,TEA C Palace - England
626,TEA C Palace reserves
627,TEA C Palace youth team
628,TEA C Tarisa - Bolivia
629,TEA C Z Jena - Germany
630,TEA C Zagreb - Croatia
631,TEA C.A.Batna - Algeria
632,TEA CA Bizertin - Tunisia
633,TEA CA Bordj Bou - Algeria
634,TEA CA Bordj Bou Arreidj - Algeria
635,TEA Caballero - Paraguay
636,TEA Cadiz - Spain
637,TEA Caen - France
638,TEA Caen reserves
639,TEA Caen youth team
640,TEA Caernarfon - Wales
641,TEA Caernarfon Town - Wales
642,TEA Caersws - Wales
643,TEA Cagliari - Italy
644,TEA Cagliari reserves
645,TEA Cagliari youth team
646,TEA Caiman - Cameroon
647,TEA Caiman de Douala - Cameroon
648,TEA Caledonia AIA - Trinidad
649,TEA Calheta - Cape Verde
650,TEA Cambridge - England
651,TEA Cambridge reserves
652,TEA Cambridge United - England
653,TEA Cambridge United reserves
654,TEA Cambridge United youth team
655,TEA Cambridge youth team
656,TEA Cambuur - Holland
657,TEA Cambuur Leeuwarden - Holland
658,TEA Cannes - France
659,TEA Cannes reserves
660,TEA Cannes youth team
661,TEA Canon de Yanoude - Cameroon
662,TEA Cape Town - South Africa
663,TEA Cape Town City - South Africa
664,TEA Capellen - Belgium
665,TEA Caps FC - Zimbabwe
666,TEA Caps Utd - Zimbabwe
667,TEA Cardiff City - Wales
668,TEA Cardiff City reserves
669,TEA Cardiff City youth team
670,TEA Cardiff GQ - Wales
671,TEA Cardiff Grange Quins - Wales
672,TEA Carib FC - Trinidad
673,TEA Carl Zeiss Jena - Germany
674,TEA Carlisle United - England
675,TEA Carlisle Utd - England
676,TEA Carmarthen - Wales
677,TEA Carmarthen Town - Wales
678,TEA Carmelita - Costa Rica
679,TEA Carrick - N Ireland
680,TEA Carrick Rangers - N Ireland
681,TEA Carrick Rangers reserves
682,TEA Carrick Rangers youth team
683,TEA Carrick reserves
684,TEA Carrick youth team
685,TEA Cartagena - Columbia
686,TEA Cartagines - Costa Rica
687,TEA Casa Sport - Senegal
688,TEA Castel di Sangro - Italy
689,TEA Catania - Italy
690,TEA Catanzaro - Italy
691,TEA Catolica - Chile
692,TEA CD Alaves - Spain
693,TEA CD Alaves reserves
694,TEA CD Alaves youth team
695,TEA Ceahlaul - Romania
696,TEA Ceahlaul Piatra-Neamt - Romania
697,TEA Celta Vigo - Spain
698,TEA Celta Vigo reserves
699,TEA Celta Vigo youth team
700,TEA Celtic - Scotland
701,TEA Celtic reserves
702,TEA Celtic youth team
703,TEA Cementarnica - Macedonia
704,TEA Central Coas - Australia
705,TEA Central Coast Mariners - Australia
706,TEA Central Espanol - Uruguay
707,TEA Central Falcons - Trinidad
708,TEA Cercle - Belgium
709,TEA Cercle Brugge - Belgium
710,TEA Cerezo Osaka - Japan
711,TEA Cerezo Osaka reserves
712,TEA Cerezo Osaka youth team
713,TEA Cerro - Uruguay
714,TEA Cerro Cora - Paraguay
715,TEA Cerro Porteno - Paraguay
716,TEA Cesena - Italy
717,TEA Cetafe - Spain
718,TEA CF Extremadura - Spain
719,TEA CFR Ecomax Cluj - Romania
720,TEA CFR Ecomax Cluj reserves
721,TEA CFR Ecomax Cluj youth team
722,TEA Chaco - Bolivia
723,TEA Chaco Petrolero - Bolivia
724,TEA Chadzeme - Belgium
725,TEA Chambishi - Zambia
726,TEA Chambly - France
727,TEA Chamois Niortais FC - France
728,TEA Changchun - China
729,TEA Changchun Yatai - China
730,TEA Changsha - China
731,TEA Changsha Ginde - China
732,TEA Chapungu - Zimbabwe
733,TEA Charleroi - Belgium
734,TEA Charlton - England
735,TEA Charlton Athletic - England
736,TEA Charlton Athletic reserves
737,TEA Charlton Athletic youth team
738,TEA Charlton reserves
739,TEA Charlton youth team
740,TEA Chateauroux - France
741,TEA Chelsea - England
742,TEA Chelsea reserves
743,TEA Chelsea youth team
744,TEA Cheltenham - England
745,TEA Cheltenham Town - England
746,TEA Cherbourg - France
747,TEA Cherno More Varna - Bulgaria
748,TEA Chernomorets - Bulgaria
749,TEA Chernomorets Burgas - Bulgaria
750,TEA Chernomorets Odessa - Ukraine
751,TEA Chester FC - England
752,TEA Chesterfield - England
753,TEA Chicago Fire - America
754,TEA Chicago Fire reserves
755,TEA Chicago Fire youth team
756,TEA Chieti - Italy
757,TEA Chievo - Italy
758,TEA Chievo Verona - Italy
759,TEA Chingola - Zambia
760,TEA Chingola Leopards - Zambia
761,TEA Chivas - Mexico
762,TEA Chmel Blsany - Czech Rep
763,TEA Chonbuk - South Korea
764,TEA Chonbuk Hyundai Motors - South Korea
765,TEA Chongqing Dangdai Lifan - China
766,TEA Chongqing Dangdai Lifan reserves
767,TEA Chongqing Dangdai Lifan youth team
768,TEA Chongqing SWM - China
769,TEA Chongqing SWM reserves
770,TEA Chongqing SWM youth team
771,TEA Chunnam Dragons - South Korea
772,TEA Cibalia - Croatia
773,TEA Ciclon Tarisa - Bolivia
774,TEA Cienciano - Peru
775,TEA Cincinnati - America
776,TEA Cincinnati reserves
777,TEA Cincinnati youth team
778,TEA Cittedella - Italy
779,TEA City of Lusaka - Zambia
780,TEA Clermont - France
781,TEA Clermont Foot - France
782,TEA Cliftonville - N Ireland
783,TEA Cliftonville reserves
784,TEA Cliftonville youth team
785,TEA Club Africain - Tunisia
786,TEA Club Brugge - Belgium
787,TEA Club Brugge reserves
788,TEA Club Brugge youth team
789,TEA Club O Transports - Tunisia
790,TEA Clyde - Scotland
791,TEA Clyde reserves
792,TEA Clyde youth team
793,TEA Clydebank - Scotland
794,TEA Clydebank reserves
795,TEA Clydebank youth team
796,TEA Cobh Ramblers - Irish Rep
797,TEA Cobreloa - Chile
798,TEA Cobresal - Chile
799,TEA COD Meknes - Morocco
800,TEA Colarado - America
801,TEA Colarado Rapids - America
802,TEA Colarado Rapids reserves
803,TEA Colarado Rapids youth team
804,TEA Colarado reserves
805,TEA Colarado youth team
806,TEA Colchester - England
807,TEA Colchester United - England
808,TEA Colegiales - Paraguay
809,TEA Coleraine - N Ireland
810,TEA Coleraine reserves
811,TEA Coleraine youth team
812,TEA Colo Colo - Chile
813,TEA Colo Colo reserves
814,TEA Colo Colo youth team
815,TEA Cologne - Germany
816,TEA Columbus - America
817,TEA Columbus Crew - America
818,TEA Columbus Crew reserves
819,TEA Columbus Crew youth team
820,TEA Columbus reserves
821,TEA Columbus youth team
822,TEA Como - Italy
823,TEA Como reserves
824,TEA Como youth team
825,TEA Compostela - Spain
826,TEA Connah's QN - Wales
827,TEA Connah's Quay Nomads - Wales
828,TEA Cons - Moldova
829,TEA Consadole - Japan
830,TEA Consadole reserves
831,TEA Consadole Sapporo - Japan
832,TEA Consadole Sapporo reserves
833,TEA Consadole Sapporo youth team
834,TEA Consadole youth team
835,TEA Constatine - Algeria
836,TEA Constructorul - Moldova
837,TEA Contractors - Egypt
838,TEA Conwy United - Wales
839,TEA Copenhagen - Denmark
840,TEA Copenhagen reserves
841,TEA Copenhagen youth team
842,TEA Coquimbo Unido - Chile
843,TEA Corinthians - Brazil
844,TEA Corinthians reserves
845,TEA Corinthians youth team
846,TEA Cork City - Irish Rep
847,TEA Coronel Bolognesi - Peru
848,TEA Cortiba - Brazil
849,TEA Cosenza - Italy
850,TEA Cotonsport - Cameroon
851,TEA Cotonsport Garoua - Cameroon
852,TEA Cove - Scotland
853,TEA Cove Rangers - Scotland
854,TEA Coventry - England
